customer_id,created_at,gender,age
12412,2015-10-01 13:11:32+00:00,F,45
49047,2015-10-01 22:19:24+00:00,F,41
68308,2015-10-01 22:30:56+00:00,F,31
27525,2015-10-02 16:09:40+00:00,F,54
59977,2015-10-02 16:20:21+00:00,M,25
46014,2015-10-02 17:57:47+00:00,F,29
57016,2015-10-05 15:37:14+00:00,M,28
26711,2015-10-05 15:56:08+00:00,F,23
70228,2015-10-05 17:59:39+00:00,F,23
45573,2015-10-06 01:47:08+00:00,F,29
59958,2015-10-06 13:36:51+00:00,F,26
12711,2015-10-06 15:33:03+00:00,F,21
59304,2015-10-06 15:34:05+00:00,M,24
46097,2015-10-06 15:53:39+00:00,F,26
28939,2015-10-06 16:05:40+00:00,F,46
63040,2015-10-06 19:56:23+00:00,F,23
28842,2015-10-10 13:21:47+00:00,F,26
63099,2015-10-13 12:46:11+00:00,F,25
51506,2015-10-13 17:23:33+00:00,M,20
43932,2015-10-14 11:31:06+00:00,F,27
61526,2015-10-19 13:51:26+00:00,F,24
51055,2015-10-20 11:04:13+00:00,M,21
72224,2015-10-20 13:18:03+00:00,F,27
38756,2015-10-20 15:35:39+00:00,F,20
29426,2015-10-22 14:39:18+00:00,F,23
40727,2015-10-22 16:00:36+00:00,F,44
12031,2015-10-22 16:45:47+00:00,F,25
83810,2015-10-22 22:03:40+00:00,F,51
40061,2015-10-22 22:06:38+00:00,F,21
44170,2015-10-23 17:46:37+00:00,M,29
31210,2015-10-24 13:52:12+00:00,F,13
26700,2015-10-24 13:58:42+00:00,M,20
40388,2015-10-25 03:43:48+00:00,F,47
46929,2015-10-27 00:15:11+00:00,F,27
53969,2015-10-27 12:14:17+00:00,M,45
50730,2015-10-27 22:13:20+00:00,F,55
47197,2015-10-27 22:49:05+00:00,M,21
64605,2015-10-28 13:35:50+00:00,F,29
54362,2015-10-29 10:44:13+00:00,M,45
13325,2015-10-29 17:40:31+00:00,F,26
49023,2015-10-31 17:21:53+00:00,M,21
62691,2015-11-02 12:25:14+00:00,M,23
42077,2015-11-02 15:55:38+00:00,M,21
46992,2015-11-03 12:14:21+00:00,M,24
44929,2015-11-03 16:16:41+00:00,M,22
53109,2015-11-03 23:48:23+00:00,F,29
59484,2015-11-04 07:52:43+00:00,F,28
34802,2015-11-04 17:11:44+00:00,F,32
20224,2015-11-05 00:39:05+00:00,M,26
9502,2015-11-16 16:27:42+00:00,F,21
69617,2015-11-17 12:26:44+00:00,F,57
13531,2015-11-17 15:26:49+00:00,M,20
55759,2015-11-18 03:03:15+00:00,F,25
41509,2015-11-18 10:00:00+00:00,F,22
37565,2015-11-18 14:50:58+00:00,M,20
32529,2015-11-18 17:20:32+00:00,F,19
64230,2015-11-18 22:10:33+00:00,M,26
13481,2015-11-19 00:22:04+00:00,F,55
59867,2015-11-19 02:00:02+00:00,M,27
43170,2015-11-19 08:39:10+00:00,F,27
46190,2015-11-19 11:30:49+00:00,M,22
55855,2015-11-20 14:01:52+00:00,F,57
47941,2015-11-23 20:20:27+00:00,F,27
28575,2015-11-23 23:51:18+00:00,M,25
24282,2015-11-24 00:36:20+00:00,F,18
6053,2015-11-24 15:06:26+00:00,F,22
15912,2015-11-24 15:16:57+00:00,M,28
65706,2015-11-24 20:30:48+00:00,F,23
47516,2015-11-25 02:47:59+00:00,F,21
16455,2015-11-26 14:47:47+00:00,F,28
55999,2015-11-26 23:30:48+00:00,F,50
43997,2015-11-30 18:11:14+00:00,M,22
28250,2015-11-30 21:13:20+00:00,F,38
27484,2015-12-02 00:45:26+00:00,F,24
8407,2015-12-02 04:49:19+00:00,F,28
19657,2015-12-02 16:35:39+00:00,F,21
54432,2015-12-07 17:12:28+00:00,F,51
42645,2015-12-10 00:59:17+00:00,M,27
581,2015-12-10 01:53:07+00:00,F,21
63906,2015-12-10 10:31:00+00:00,F,21
25526,2015-12-10 13:51:47+00:00,F,27
74186,2015-12-12 02:59:45+00:00,M,29
50255,2015-12-12 09:22:54+00:00,M,20
31490,2015-12-12 20:01:26+00:00,F,24
45451,2015-12-13 22:49:54+00:00,M,26
63034,2015-12-14 02:05:50+00:00,F,22
68862,2015-12-14 03:16:21+00:00,M,21
37961,2015-12-15 00:40:37+00:00,M,26
49614,2015-12-15 01:33:55+00:00,F,22
23244,2015-12-16 01:29:55+00:00,F,20
77500,2015-12-16 17:12:12+00:00,F,32
60455,2015-12-17 01:10:38+00:00,F,24
50970,2015-12-17 21:21:10+00:00,F,21
48606,2015-12-21 03:02:59+00:00,F,23
54549,2015-12-21 14:18:21+00:00,M,43
52981,2015-12-22 13:51:43+00:00,M,29
62457,2015-12-23 10:12:51+00:00,F,29
63643,2015-12-24 17:59:40+00:00,F,19
27652,2015-12-25 14:21:35+00:00,F,28
51394,2015-12-27 01:15:11+00:00,F,23
62367,2015-12-28 17:20:06+00:00,F,21
63168,2015-12-28 18:08:12+00:00,F,51
36837,2015-12-29 18:35:53+00:00,M,23
74156,2015-12-30 20:32:55+00:00,F,25
27877,2016-01-04 14:03:42+00:00,F,26
46123,2016-01-04 22:02:12+00:00,F,28
39938,2016-01-04 22:25:14+00:00,F,20
17452,2016-01-05 16:20:15+00:00,F,27
70307,2016-01-09 04:31:48+00:00,F,53
43203,2016-01-11 03:03:04+00:00,F,19
37897,2016-01-11 09:59:50+00:00,F,24
59229,2016-01-11 16:21:17+00:00,M,26
54416,2016-01-12 03:48:16+00:00,F,26
57205,2016-01-12 21:57:42+00:00,F,27
15487,2016-01-13 18:21:57+00:00,M,43
42579,2016-01-14 12:28:54+00:00,F,27
82949,2016-01-14 12:47:32+00:00,M,15
39019,2016-01-15 11:58:10+00:00,F,26
33072,2016-01-18 20:49:43+00:00,F,23
77455,2016-01-18 21:48:53+00:00,M,29
37051,2016-01-19 06:36:54+00:00,F,25
55312,2016-01-20 12:32:09+00:00,M,20
1977,2016-01-21 01:17:43+00:00,F,25
81323,2016-01-21 13:34:08+00:00,F,17
52076,2016-01-22 08:58:52+00:00,F,46
24684,2016-01-23 01:37:06+00:00,M,24
55171,2016-01-23 16:09:06+00:00,M,27
31156,2016-01-23 20:33:07+00:00,F,21
43402,2016-01-24 22:54:18+00:00,M,28
65622,2016-01-25 00:56:38+00:00,F,27
37872,2016-01-25 16:27:29+00:00,M,31
36834,2016-01-26 01:31:17+00:00,M,39
50471,2016-01-26 17:02:01+00:00,M,29
56713,2016-01-26 19:31:40+00:00,F,39
68007,2016-01-27 11:32:53+00:00,M,26
61878,2016-01-28 17:45:57+00:00,M,21
51805,2016-01-28 21:32:35+00:00,F,23
56630,2016-01-29 03:18:51+00:00,F,27
65671,2016-01-29 19:02:59+00:00,F,27
36658,2016-01-29 19:44:28+00:00,F,43
58327,2016-01-30 18:45:38+00:00,M,22
37248,2016-01-30 22:47:32+00:00,F,28
52829,2016-01-31 21:57:11+00:00,M,27
53483,2016-02-01 18:54:22+00:00,F,26
50018,2016-02-01 23:37:47+00:00,F,25
41456,2016-02-02 01:23:54+00:00,M,25
21334,2016-02-02 06:40:48+00:00,F,18
42204,2016-02-02 16:33:50+00:00,F,27
38540,2016-02-05 16:52:43+00:00,F,24
86591,2016-02-07 15:45:47+00:00,F,23
42068,2016-02-08 20:46:01+00:00,M,25
45760,2016-02-10 17:45:40+00:00,F,53
51000,2016-02-11 18:22:15+00:00,F,27
34607,2016-02-11 19:57:01+00:00,M,54
53271,2016-02-12 00:58:32+00:00,F,36
49069,2016-02-14 22:57:35+00:00,F,25
64251,2016-02-16 00:45:03+00:00,F,21
44422,2016-02-17 17:44:30+00:00,F,20
51468,2016-02-17 19:03:30+00:00,F,28
78053,2016-02-19 00:02:41+00:00,M,23
41688,2016-02-20 08:26:31+00:00,,27
81705,2016-02-21 15:44:26+00:00,M,25
14149,2016-02-21 18:18:45+00:00,M,25
47072,2016-02-22 23:03:10+00:00,F,22
26630,2016-02-23 11:41:12+00:00,Others,53
45287,2016-02-25 00:47:05+00:00,M,17
65305,2016-02-26 13:43:11+00:00,F,27
35135,2016-02-27 00:42:14+00:00,F,28
12525,2016-02-27 07:42:13+00:00,M,21
33763,2016-02-29 09:52:12+00:00,F,35
65094,2016-02-29 20:32:59+00:00,F,26
63569,2016-03-01 12:29:48+00:00,F,15
44956,2016-03-02 20:24:04+00:00,F,20
28812,2016-03-02 21:32:40+00:00,F,52
78622,2016-03-05 03:53:23+00:00,F,26
72618,2016-03-08 15:49:08+00:00,Others,54
63937,2016-03-08 17:50:55+00:00,,25
28632,2016-03-08 21:36:55+00:00,F,23
61723,2016-03-08 21:50:29+00:00,M,27
28089,2016-03-10 13:13:54+00:00,F,23
27817,2016-03-11 04:22:10+00:00,F,28
37072,2016-03-13 13:34:02+00:00,M,29
31227,2016-03-14 22:39:09+00:00,M,24
57645,2016-03-15 00:09:31+00:00,F,22
23902,2016-03-15 18:30:29+00:00,M,23
28163,2016-03-16 00:46:01+00:00,F,29
64915,2016-03-16 18:13:11+00:00,F,23
69738,2016-03-17 14:22:13+00:00,M,20
55900,2016-03-17 23:56:43+00:00,F,27
36265,2016-03-18 01:11:03+00:00,F,20
59819,2016-03-21 01:33:01+00:00,M,27
54534,2016-03-21 10:20:43+00:00,F,28
39807,2016-03-21 14:34:01+00:00,M,21
37479,2016-03-21 20:05:41+00:00,M,29
38173,2016-03-22 01:12:36+00:00,M,23
72423,2016-03-23 19:54:20+00:00,F,14
30667,2016-03-24 00:39:56+00:00,F,15
43677,2016-03-24 15:07:57+00:00,M,23
39900,2016-03-24 23:18:45+00:00,M,22
15710,2016-03-26 19:32:53+00:00,F,46
56197,2016-03-27 12:50:15+00:00,F,23
32952,2016-03-28 22:01:38+00:00,F,27
39965,2016-03-29 00:06:28+00:00,F,45
40276,2016-03-29 16:41:51+00:00,F,23
48528,2016-03-31 11:31:15+00:00,F,28
35869,2016-04-03 20:41:09+00:00,F,57
66699,2016-04-07 01:59:00+00:00,F,54
26410,2016-04-08 10:25:57+00:00,M,22
64969,2016-04-11 01:57:53+00:00,M,28
66481,2016-04-11 03:57:50+00:00,M,20
48100,2016-04-12 09:12:49+00:00,M,28
21452,2016-04-13 20:56:54+00:00,M,27
16503,2016-04-15 11:48:06+00:00,F,21
41827,2016-04-15 12:29:48+00:00,M,21
64468,2016-04-18 01:40:54+00:00,F,28
37945,2016-04-18 13:43:17+00:00,M,56
38418,2016-04-18 22:07:56+00:00,F,39
54516,2016-04-19 14:10:16+00:00,F,14
66471,2016-04-19 21:04:03+00:00,F,25
42355,2016-04-20 19:39:54+00:00,M,27
47497,2016-04-21 16:06:49+00:00,M,40
17189,2016-04-23 23:30:38+00:00,M,27
29002,2016-04-24 20:58:49+00:00,M,40
41439,2016-04-25 12:56:23+00:00,F,22
69428,2016-04-26 00:27:01+00:00,M,35
38106,2016-04-27 07:47:03+00:00,F,24
45933,2016-04-27 07:50:46+00:00,M,20
74851,2016-04-29 13:15:05+00:00,M,25
49166,2016-05-01 02:12:18+00:00,M,28
41031,2016-05-01 21:41:58+00:00,F,21
73485,2016-05-02 16:00:04+00:00,F,55
36732,2016-05-03 00:31:32+00:00,M,39
75134,2016-05-09 12:59:26+00:00,M,24
40939,2016-05-09 17:02:49+00:00,M,28
50644,2016-05-09 18:06:12+00:00,F,28
32123,2016-05-09 23:51:57+00:00,M,23
13110,2016-05-10 23:38:45+00:00,M,24
11280,2016-05-12 18:14:21+00:00,M,19
10852,2016-05-13 00:48:37+00:00,M,26
76358,2016-05-13 01:30:06+00:00,M,21
57694,2016-05-13 15:33:29+00:00,M,28
37475,2016-05-13 18:09:35+00:00,F,28
17793,2016-05-18 00:56:59+00:00,F,26
23656,2016-05-18 01:36:30+00:00,F,29
23475,2016-05-19 15:36:01+00:00,M,34
72908,2016-05-19 22:52:47+00:00,F,21
31982,2016-05-23 09:57:23+00:00,F,26
38237,2016-05-25 03:27:16+00:00,M,35
70347,2016-05-26 22:34:52+00:00,F,50
39216,2016-05-27 03:11:26+00:00,F,27
48297,2016-05-28 16:50:26+00:00,M,21
39053,2016-05-31 00:12:21+00:00,M,21
50106,2016-06-01 02:03:10+00:00,F,25
31516,2016-06-01 15:05:15+00:00,F,28
78624,2016-06-01 17:55:59+00:00,F,26
47696,2016-06-03 13:03:45+00:00,M,27
49226,2016-06-06 19:17:07+00:00,F,27
64581,2016-06-07 13:56:23+00:00,F,23
31699,2016-06-08 01:48:32+00:00,F,19
47892,2016-06-08 20:46:35+00:00,F,23
78901,2016-06-09 15:17:23+00:00,F,28
34691,2016-06-13 15:04:59+00:00,F,28
72349,2016-06-14 22:24:37+00:00,M,22
46743,2016-06-14 22:35:58+00:00,F,29
32939,2016-06-15 18:34:53+00:00,M,23
62721,2016-06-17 19:38:56+00:00,F,39
49135,2016-06-17 21:06:02+00:00,F,28
56926,2016-06-18 06:07:23+00:00,F,29
44350,2016-06-19 02:43:23+00:00,F,22
33373,2016-06-19 11:18:20+00:00,F,15
55720,2016-06-20 15:50:59+00:00,F,25
44075,2016-06-21 10:43:12+00:00,Others,51
13985,2016-06-21 11:05:42+00:00,F,26
56322,2016-06-22 22:16:59+00:00,F,29
43298,2016-06-23 00:55:06+00:00,M,27
37561,2016-06-26 00:18:07+00:00,F,22
50114,2016-06-27 09:41:16+00:00,F,31
31685,2016-06-28 07:03:06+00:00,M,27
86252,2016-06-28 16:40:42+00:00,F,25
34412,2016-06-28 20:32:16+00:00,F,27
32834,2016-06-28 20:41:09+00:00,M,38
59592,2016-06-29 12:05:54+00:00,M,24
17065,2016-06-29 13:42:20+00:00,F,33
24479,2016-06-29 23:17:59+00:00,F,26
64037,2016-06-29 23:37:32+00:00,F,42
29931,2016-06-30 10:13:04+00:00,F,26
34705,2016-07-04 04:18:42+00:00,F,27
38507,2016-07-04 14:34:31+00:00,F,23
69027,2016-07-04 23:22:37+00:00,M,26
42667,2016-07-05 14:18:11+00:00,F,27
69297,2016-07-07 01:48:57+00:00,M,24
42470,2016-07-07 11:35:56+00:00,F,56
67617,2016-07-08 22:13:02+00:00,F,29
35642,2016-07-10 22:55:00+00:00,Others,45
22814,2016-07-10 23:58:37+00:00,M,26
8372,2016-07-12 04:29:41+00:00,M,20
56299,2016-07-12 14:16:34+00:00,F,25
43817,2016-07-14 09:20:32+00:00,F,17
38976,2016-07-14 22:22:33+00:00,M,20
61598,2016-07-17 16:31:51+00:00,F,24
9630,2016-07-18 13:21:29+00:00,M,23
39590,2016-07-19 02:52:02+00:00,F,20
18186,2016-07-19 18:16:24+00:00,F,31
64638,2016-07-21 01:41:15+00:00,F,24
18595,2016-07-21 08:11:03+00:00,F,28
57859,2016-07-21 15:38:15+00:00,F,28
74664,2016-07-22 18:47:45+00:00,M,22
64343,2016-07-23 19:41:47+00:00,F,22
24528,2016-07-24 17:50:57+00:00,M,29
40282,2016-07-26 17:18:27+00:00,F,22
51296,2016-07-27 00:27:57+00:00,M,41
67810,2016-07-27 03:18:25+00:00,M,39
65378,2016-07-27 23:51:12+00:00,M,26
11469,2016-08-01 07:01:58+00:00,M,21
58246,2016-08-01 14:37:07+00:00,F,21
49314,2016-08-01 16:07:18+00:00,F,25
62082,2016-08-01 17:29:36+00:00,F,49
58384,2016-08-02 18:03:03+00:00,F,29
58554,2016-08-04 22:55:26+00:00,M,29
31560,2016-08-05 15:29:40+00:00,M,43
16635,2016-08-08 21:31:19+00:00,F,25
43869,2016-08-09 12:24:01+00:00,M,23
8978,2016-08-10 10:58:15+00:00,F,20
35513,2016-08-10 15:13:13+00:00,M,27
29018,2016-08-11 20:53:33+00:00,M,24
36956,2016-08-12 10:47:07+00:00,F,28
27551,2016-08-16 10:53:39+00:00,F,23
31509,2016-08-16 11:55:46+00:00,F,20
27182,2016-08-16 15:40:53+00:00,M,33
27139,2016-08-17 20:39:55+00:00,F,20
21829,2016-08-17 22:34:30+00:00,M,24
50882,2016-08-18 19:10:09+00:00,M,28
41025,2016-08-19 06:02:52+00:00,F,37
